Method,Model,Test Accuracy,CV Mean,CV Std
PCA 99%,Random Forest,0.5957446808510638,0.49866666666666665,0.04008879034232775
PCA 99%,Gradient Boosting,0.5,0.5279999999999999,0.026127890589687237
PCA 99%,Logistic Regression,0.5425531914893617,0.4826666666666667,0.030868898407440597
PCA 99%,SVM,0.6063829787234043,0.5573333333333333,0.028472208672083492
PCA 95%,Random Forest,0.46808510638297873,0.49333333333333335,0.04044200236827496
PCA 95%,Gradient Boosting,0.5425531914893617,0.4746666666666666,0.04266666666666665
PCA 95%,Logistic Regression,0.5531914893617021,0.48,0.032659863237109045
PCA 95%,SVM,0.6382978723404256,0.5599999999999999,0.03040467800264367
SFS,Random Forest,0.6170212765957447,0.5973333333333333,0.033092463055975595
SFS,Gradient Boosting,0.6382978723404256,0.5733333333333335,0.030404678002643702
SFS,Logistic Regression,0.6170212765957447,0.44000000000000006,0.030404678002643674
SFS,SVM,0.6702127659574468,0.5573333333333335,0.04572380853195267
