selec,start,end,sound.files,File_Offset,Call_Type,Distance,Quality,CallerID,Cert_ID,Context,Cert_Con,Elicitor1_ID,Cert_ID_Elic1,Comments,Alt_Elic1,Alt_Caller,Alt_Con,selec.file,soundID,CallerGrp,CallerSex,CallerDOB,CallerMom,CallerMatr,Elicitor1Grp,Elicitor1Sex,Elicitor1DOB,Elicitor1Mom,Elicitor1Matr,date,CallerAge,Elicitor1Age,CallerBinAge,ElicitorBinAge,CallerAdMale,Elicitor1AdMale,newSocCat,Context2,SndFile,QR1,QR2,Cert_ID_Bin,Cert_Con_Bin,Cert_ID_Elic1_Bin,Con_Usable,file,sprsMed,sprsMbw,sprsEqbw,sprsMc,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,Fw1,Fw2,Fw3,Fw4,Mw1,Mw2,Mw3,Mw4,F1,F2,F3,F4,M1,M2,M3,M4
2,116.0419351,123.1476552,20191122_1012.WAV,116.042,RUM,NA,3,M17.08,0.5,COM,1,M18.0619,1,"Caller photos: LE1430,1431. Age=Subadult; Allomother reassuring calf searching for its mom; On 12/3/20 added ID as M17.08 based on age and photos. Alt caller=M17.8610",NA,NA,NA,20191122_1012.Table.1.selections.txt,20191122_1012_sel2.wav,FirstLadies,F,4/27/2008,M17,M17,FirstLadies,F,9/20/2019,M18.06,M17,11/22/2019,4226,63,adult,juv,no,no,A2J,care,20191122_1012,NA,NA,0,1,1,1,20191122_1012_sel2.wav,0.187701501,0.141325061,0.354186207,0.533670438,0.000926715,0.000505523,0.000476131,-0.001907497,0.001904761,-0.005040989,0.002067887,0.001279273,0.00025243,0.002537871,-0.001506136,0.007402819,-0.000935224,0.003454117,0.000929404,-0.000631462,-0.004091749,-0.001104131,-0.00076553,-0.001562987,0.002167276,0.000569224,-0.000336268,-3.62E-05,0.000218305,0.000910311,-3.81E-06,-0.002299046,-0.000971639,0.000769664,-0.000396661,0.000335682,0.001307232,-0.001508387,-0.000353584,-0.001927623,-0.000805284,-0.000169934,-0.00171072,0.000666346,0.000920529,-1.99E-05,-7.88E-05,-0.000636244,-0.000418177,-0.000276323,-0.000302473,2.75E-05,0.000936872,0.001195363,0.001353925,0.000421869,0.002423907,-0.000969418,-0.008373613,-0.000470893,0.000547759,0.000294495,0.000260037,0.00196747,-0.000458299,-0.000391031,-6.24E-05,0.000192312,-0.000545084,4.24E-05,-0.002566543,0.005802202,0.007417149,-0.002151008,0.003711584,0.001210281,0.00034,-0.000899258,1.450892857,2.790178571,8.928571429,9.598214286,5.652723423,2.227321453,2.441797477,3.6339387,1.227678571,2.232142857,6.138392857,9.598214286,2.406893423,1.934580161,1.775226056,4.821551738
10,1480.87,1487.58863,20191213_1311.WAV,1480.87,RUM,5,2,R6.9001,1,GWG,1,R7,1,"Wendy rubbed against Poe, then Poe gave a RUM",NA,NA,NA,20191213_1125_to_20191213_1311.Table.1.selections.txt,20191213_1311_sel10.wav,Poetics,F,10/23/2001,R6.90,R7,Poetics,F,6/30/1983,NA,R7,12/13/2019,6625,13315,adult,adult,no,no,YngA2A,greeting,20191213_1311,NA,NA,1,1,1,1,20191213_1311_sel10.wav,1.330501244,0.24041321,0.606715633,-0.05650403,0.001045285,6.06E-05,0.000652942,0.003063872,0.000936612,0.000439932,-0.000455651,-0.000966424,0.000968917,-0.002291201,0.000669352,-0.001794759,-1.86E-05,0.000374853,-0.000797073,0.001043613,0.001342555,0.002060686,0.001085257,0.002717865,-0.001134825,0.00087475,0.000300995,0.000157083,0.001684552,-0.000201106,0.000539324,-0.001715764,-0.000970095,0.000279833,-0.000987657,-0.003121843,-0.002030957,0.004251237,-0.001006966,-0.006303584,-0.004893415,-0.0055014,-0.003996361,0.001707288,0.001560057,0.000449619,-0.000389994,-0.000222669,-0.001274654,-0.000154945,0.000637381,0.001663153,0.003783037,0.001153633,0.000120482,-0.000516475,0.001985657,-0.000310591,-0.005419024,-0.000359391,5.23E-05,-0.000114989,0.000578903,-0.001692286,-0.000695408,-2.86E-05,0.001346244,0.000264879,-0.00277882,0.00025633,0.003035347,-0.002149224,0.000645958,-0.002115176,-0.001299552,-0.000174454,-0.001872622,0.000864652,1.227678571,1.785714286,3.013392857,6.919642857,2.046242861,2.131662461,1.87320481,1.87953939,1.785714286,6.919642857,9.486607143,10.37946429,1.940057603,1.906449027,1.838379654,1.71853719
43,608.9056,616.3891561,20191216_1227.WAV,608.9056,RUM,15,2,R24,1,GJJ,1,R24.09,1,greeting as R24.09 reaches R24; guessing the first call is R24 because it has a lower f0,NA,NA,NA,20191216_1050_to_20191216_1426.Table.1.selections.txt,20191216_1227_sel43.wav,Artists,F,6/30/1980,NA,R23,Artists,M,4/8/2009,R24,R23,12/16/2019,14413,3904,adult,juv,no,no,MomJuv,greeting,20191216_1227,NA,NA,1,1,1,1,20191216_1227_sel43.wav,0.84880862,0.131006131,0.395194813,0.382087466,-0.002467587,0.000504163,-0.001704918,0.000797021,0.000256073,0.000413151,0.000857349,-0.000834458,0.001240813,-0.000445316,0.000117563,-0.001159874,0.000247249,-0.001273233,0.000236431,-0.001482356,0.000431066,-0.001078795,0.0010721,0.000749248,-0.001545254,-0.000894853,-0.001455855,-0.002815767,-0.000692212,0.001250133,0.00020275,-4.96E-05,0.000514926,-0.000356194,0.000177986,0.00150214,0.000747187,-0.002543083,2.66E-05,0.001645179,0.001450421,0.001567287,0.001206599,-0.000787115,-7.96E-05,-0.000168291,-0.000232305,-0.0009592,-0.000410838,0.00074215,-0.000620947,-0.002002922,-0.004560902,-0.004146879,0.001167292,0.000234456,-0.002322465,0.000456699,0.007238723,0.000129374,-0.00132246,-8.78E-05,-0.000717678,-0.003701818,0.000617526,0.000553981,0.001936606,0.000191968,0.000218175,0.000142482,0.000684246,-0.000451463,0.000367992,-0.000422685,-0.000368414,0.002789977,0.000138493,-0.000820032,2.064732143,5.022321429,6.305803571,13.33705357,2.2486606,2.447602088,2.564369136,2.113755863,1.674107143,5.078125,5.747767857,13.39285714,2.03022935,1.668440737,1.701242242,2.247254735
44,616.3902,618.6988591,20191216_1227.WAV,616.3902,RUM,15,2,R24.09,1,GJJ,1,R24,1,greeting as R24.09 reaches R24. Guessing this one is R24.09 because it has a higher f0,NA,NA,NA,20191216_1050_to_20191216_1426.Table.1.selections.txt,20191216_1227_sel44.wav,Artists,M,4/8/2009,R24,R23,Artists,F,6/30/1980,NA,R23,12/16/2019,3904,14413,juv,adult,no,no,JuvOff,greeting,20191216_1227,NA,NA,1,1,1,1,20191216_1227_sel44.wav,0.277181061,0.20681846,0.418712913,0.646122884,-0.002636768,-0.001364961,-0.002030402,-0.001032266,-0.000914693,-0.002232985,0.001027166,0.00252541,0.001946196,0.001404826,-0.000362959,0.004252033,-0.002270239,0.001330775,0.002424123,0.000138025,-0.001272453,0.000224874,-0.000959839,-0.003221232,0.001866477,-0.000463179,-0.001357687,-0.002417285,0.001384604,0.001507323,-0.001527386,0.000200024,-4.60E-05,-0.001369646,4.76E-05,0.001131947,0.000456881,0.000578945,-0.000899384,-0.003155393,-0.000722655,-0.000744898,-0.002610794,-0.000516521,0.000390267,0.002009538,9.87E-05,-0.000965693,-0.001470166,-3.27E-05,7.55E-05,-0.000791947,-0.001757959,-0.00245814,0.000540619,0.000571175,-0.000230419,-0.000258842,-0.001835495,0.000589843,-0.000495428,-0.00093405,-0.000667388,-0.002176254,0.001124658,0.000946383,-0.006192996,-0.00031787,0.002043542,-0.000803203,0.00394262,-0.001519117,0.000916621,0.001121903,-0.001287898,-0.001209885,0.003232755,-0.002268807,1.339285714,2.008928571,2.678571429,6.473214286,2.511351419,2.763164103,3.243571415,1.54018974,0.446428571,2.008928571,2.678571429,6.026785714,1.474847879,2.470793039,1.665843604,1.587792038
20,981.3545,989.3913421,20191218_1104_2.wav,981.3545,RUM,10,3,R38.01,1,CCF,1,R38.0113,1,"Davido thinks that Habiba was calling her calf, R38.0113, who was separated from the group. Hadithi and R36.0314 approach Habiba after the first few calls, but they were closer by and she starts calling again not long after, which suggests the calls probably were aimed at someone else. But impossible to know for sure",NA,NA,NA,20191218_1104.Table.1.selections.txt,20191218_1104_2_sel20.wav,Swahilis,F,2/2/2001,R38,R38.01,Swahilis,M,11/30/2013,R38.01,R38.01,12/18/2019,6893,2209,adult,juv,no,no,MomJuv,contact,20191218_1104_2,NA,NA,1,1,1,1,20191218_1104_2_sel20.wav,0.808178892,0.397161096,0.716557222,0.338601991,-0.001106,0.000559423,-0.000670487,-0.00194433,0.000109362,0.000391201,-0.002718235,0.000514412,-0.001182746,0.001463691,-0.000224816,0.001089749,0.000299932,0.000180067,0.000527858,0.001011721,0.000631174,-0.000600951,0.000929783,0.000446177,-0.002071651,0.000602373,0.001404021,0.001549546,0.002559373,0.000760467,0.001144811,0.000359946,-0.000548272,0.000238369,-0.00024178,0.00078227,-0.000749431,0.000537686,-0.00299014,-0.00420065,-0.003755852,-0.003329926,-0.002229198,-0.00017324,0.000231932,0.000229458,-4.77E-05,-4.09E-05,-0.001600834,-0.000468269,0.000972998,0.000363877,0.001803588,0.001014009,1.01E-05,-0.000635214,0.000104271,0.000730092,-0.001196888,-0.000722772,0.011155995,-0.000629904,0.002409744,0.000815716,-0.000558149,6.94E-05,-0.006150851,-0.000517204,0.003260561,-5.31E-05,-0.005639564,-0.006301673,-0.001642672,0.000220856,0.002437971,0.003295315,0.005490055,-0.003361519,0.167410714,1.450892857,5.078125,10.71428571,2.590563069,2.100422747,2.55631893,1.631316512,1.785714286,5.078125,6.919642857,9.765625,2.200564227,1.734312174,1.665916769,1.650242893
21,990.9221,999.3416489,20191218_1104_2.wav,990.9221,RUM,10,3,R38.01,1,CCF,1,R38.0113,1,"Davido thinks that Habiba was calling her calf, R38.0113, who was separated from the group. Hadithi and R36.0314 approach Habiba after the first few calls, but they were closer by and she starts calling again not long after, which suggests the calls probably were aimed at someone else. But impossible to know for sure",NA,NA,NA,20191218_1104.Table.1.selections.txt,20191218_1104_2_sel21.wav,Swahilis,F,2/2/2001,R38,R38.01,Swahilis,M,11/30/2013,R38.01,R38.01,12/18/2019,6893,2209,adult,juv,no,no,MomJuv,contact,20191218_1104_2,NA,NA,1,1,1,1,20191218_1104_2_sel21.wav,0.943886766,0.266342723,0.576317107,0.2270287,-0.000785763,8.08E-05,-0.000420583,-0.001049662,0.000373348,0.001879603,-0.002583935,0.000374672,-0.001615598,0.001168426,-5.27E-05,0.000472818,7.44E-05,-0.000609499,-0.000743782,0.001453866,0.000508779,0.001458381,0.000702578,-0.000144294,0.001213374,0.000483936,0.001701896,0.002965002,0.001866202,-0.000315286,0.000967748,-0.000263179,-0.000706545,0.000950069,3.70E-05,-0.000977334,-0.00097686,0.001085221,-0.001461309,-0.003632729,-0.003458303,-0.002137032,-0.003011495,5.40E-05,0.000763005,0.000402198,-0.001324622,-0.000185214,-0.000883348,-0.000607271,0.001441055,0.002717406,0.00588016,0.005691009,-0.001929949,-0.000860364,0.001892691,0.000401287,-0.005986443,-0.000466092,0.008254741,-0.000411187,0.002224883,0.001646444,-0.000235092,0.00016474,-0.001134332,2.86E-05,0.001348414,-0.000274232,0.000660293,-0.002041862,0.0021976,0.000450039,0.002086328,0.005881942,0.005517949,0.003638797,1.283482143,5.46875,6.361607143,7.700892857,2.134201264,3.998776948,2.101076524,2.459582416,0.613839286,5.46875,7.087053571,8.649553571,2.033593733,2.106600089,1.826891223,1.839664
23,1003.2166,1010.700643,20191218_1104_2.wav,1003.2166,RUM,10,3,R38.01,1,CCF,1,R38.0113,1,"Davido thinks that Habiba was calling her calf, R38.0113, who was separated from the group. Hadithi and R36.0314 approach Habiba after the first few calls, but they were closer by and she starts calling again not long after, which suggests the calls probably were aimed at someone else. But impossible to know for sure",NA,NA,NA,20191218_1104.Table.1.selections.txt,20191218_1104_2_sel23.wav,Swahilis,F,2/2/2001,R38,R38.01,Swahilis,M,11/30/2013,R38.01,R38.01,12/18/2019,6893,2209,adult,juv,no,no,MomJuv,contact,20191218_1104_2,NA,NA,1,1,1,1,20191218_1104_2_sel23.wav,1.799990993,0.336568897,0.695861958,0.00681194,-0.001406015,-0.000159381,-0.001241023,0.001981174,0.0003339,0.00267653,-0.00095935,-0.000910709,0.001018543,-0.002586422,0.001325331,-0.001518015,-0.000682897,-0.002376296,-0.001102567,0.000972689,0.002513569,-5.58E-05,0.0007496,-0.000113148,0.001407124,0.001622833,0.001181328,0.000633585,0.002478153,0.001466671,0.000806659,-0.001516851,-0.000629865,-1.20E-05,-0.000372192,0.001187353,-0.000215843,-0.000433853,-0.003427531,-0.005500812,-0.003755203,-0.001494147,-0.004842849,0.002271721,0.003895271,-0.000427848,-0.001243955,-9.79E-05,-0.001278623,-0.000621879,0.001298682,0.002341345,0.004919229,0.00373154,-0.000988688,-0.00047039,0.001785955,0.000472705,-0.004142306,-0.000458437,0.00995479,7.00E-06,0.002370366,0.004248864,-0.000508545,4.46E-06,-0.00492396,-0.000517214,0.002210134,7.84E-05,-0.001340046,-0.000106865,0.003391596,0.004232224,-0.000631979,0.002117532,1.82E-05,0.00180649,0.78125,2.120535714,5.803571429,6.584821429,5.543114375,2.321445262,3.739787098,4.076433826,0.78125,2.120535714,5.803571429,6.584821429,2.774107019,2.541839683,2.307340525,3.4715637
24,1015.5908,1023.117366,20191218_1104_2.wav,1015.5908,RUM,10,3,R38.01,1,CCF,1,R38.0113,1,"Davido thinks that Habiba was calling her calf, R38.0113, who was separated from the group. Hadithi and R36.0314 approach Habiba after the first few calls, but they were closer by and she starts calling again not long after, which suggests the calls probably were aimed at someone else. But impossible to know for sure",NA,NA,NA,20191218_1104.Table.1.selections.txt,20191218_1104_2_sel24.wav,Swahilis,F,2/2/2001,R38,R38.01,Swahilis,M,11/30/2013,R38.01,R38.01,12/18/2019,6893,2209,adult,juv,no,no,MomJuv,contact,20191218_1104_2,NA,NA,1,1,1,1,20191218_1104_2_sel24.wav,0,0.117620986,0.224514882,1,-0.000768498,0.000264722,-0.000659076,0.001929429,0.000731916,-0.000566348,0.000711063,-0.000465527,0.001293438,-0.001906987,0.000665807,-0.000100339,-0.00012468,0.000112913,-4.10E-05,-7.52E-05,-8.93E-05,-0.00038049,0.00055401,0.00025935,-0.000282198,0.000796293,1.12E-05,9.30E-05,0.001393519,0.001914508,0.00068327,-0.001562283,-0.000400106,-0.000136762,0.000111816,-0.000136702,-0.000128986,0.000374978,-0.000716742,-0.002083515,-0.001688193,-0.001324765,-0.001879499,0.000540871,0.002185398,5.36E-05,-0.000193844,-0.00012483,-0.001691492,0.000368077,0.00056689,0.000171621,0.000704845,-0.000293722,0.000342679,-0.000170135,0.000356465,0.000604216,-0.00213986,-4.34E-05,0.007421917,-5.16E-05,0.001546941,-0.000640975,-0.000575706,0.000144457,-0.002045344,0.000384617,0.000161727,0.000139964,-0.001595436,0.001898364,0.001262157,0.001259541,0.000449033,0.00143572,0.001013339,-0.003660256,0.223214286,1.506696429,2.734375,12.16517857,2.131465759,2.596805952,1.922649182,2.13460172,0.446428571,1.506696429,2.566964286,12.16517857,1.642980856,2.441371166,1.646413899,2.479599932
25,1063.1866,1069.05477,20191218_1104_2.wav,1063.1866,RUM,NA,2,R38.01,1,CCF,1,R38.0113,1,"Davido thinks that Habiba was calling her calf, R38.0113, who was separated from the group. Hadithi and R36.0314 approach Habiba after the first few calls, but they were closer by and she starts calling again not long after, which suggests the calls probably were aimed at someone else. But impossible to know for sure",NA,NA,NA,20191218_1104.Table.1.selections.txt,20191218_1104_2_sel25.wav,Swahilis,F,2/2/2001,R38,R38.01,Swahilis,M,11/30/2013,R38.01,R38.01,12/18/2019,6893,2209,adult,juv,no,no,MomJuv,contact,20191218_1104_2,NA,NA,1,1,1,1,20191218_1104_2_sel25.wav,0.007015318,0.151781715,0.299178302,0.973524935,-0.001486817,-0.000284909,-0.001052606,0.001479024,8.06E-05,-0.00012237,0.001389382,0.000182156,0.00188368,-0.001587444,0.000765041,-0.000676877,0.00029121,-0.000825515,-0.000224584,-0.000508759,-0.000196936,-5.29E-05,2.18E-05,0.000501185,-0.000425958,0.00075635,-7.48E-05,-0.001207252,0.001613825,0.001478557,0.001273622,-0.001719764,-0.000457201,0.000477684,0.000195905,-0.00085317,-0.000692061,0.000780301,-0.00049125,-0.001265417,-0.001760155,-0.001186652,-0.001671599,0.000944568,0.000734378,-0.00011658,-0.000365851,-0.000685657,-0.001349696,0.000152845,0.000159847,0.000329405,0.00160207,0.000688837,-0.000387586,-0.000445246,0.000686979,0.000406131,-0.003299242,-0.000480809,0.006107316,-0.000694774,0.00068518,-0.001135683,-0.001016918,0.000564882,-0.003983338,-0.000267537,-0.000511917,0.000648717,-0.003785658,-3.86E-05,-0.00068572,0.000453646,-0.000762914,0.000893233,0.001820351,0.000952384,1.116071429,1.897321429,6.473214286,12.16517857,1.806815889,1.76853979,2.368155632,1.806091323,2.120535714,5.245535714,6.473214286,12.16517857,2.200497524,1.556347007,1.635854704,2.375412635
31,1297.9992,1304.404633,20191218_1104_2.wav,1297.9992,RUM,20,2,R38.01,1,CCF,1,R38.0113,1,"Davido thinks that Habiba was calling her calf, R38.0113, who was separated from the group. Hadithi and R36.0314 approach Habiba shortly before this call, but they were closer by and she starts calling again not long after, which suggests the calls probably were aimed at someone else. But impossible to know for sure",NA,NA,NA,20191218_1104.Table.1.selections.txt,20191218_1104_2_sel31.wav,Swahilis,F,2/2/2001,R38,R38.01,Swahilis,M,11/30/2013,R38.01,R38.01,12/18/2019,6893,2209,adult,juv,no,no,MomJuv,contact,20191218_1104_2,NA,NA,1,1,1,1,20191218_1104_2_sel31.wav,0.411710427,0.091985385,0.229721621,0.400536226,-0.001736881,8.41E-05,-0.000865112,-0.000161601,-0.000636096,-0.000422328,-0.001432106,-0.000119391,-0.000309612,0.001082326,-0.000346086,-0.000190113,2.39E-06,0.000229078,0.000425844,0.000521306,-0.000176608,-0.000242207,0.000513989,0.001096179,-0.001794789,0.001124324,0.001037995,0.000702903,0.001770666,0.001259664,0.000207535,-0.001089683,-0.000196215,-1.99E-05,-0.000187261,-0.000908816,-0.001315298,0.002847275,-0.000518465,-0.002521204,-0.003160278,-0.002786394,-0.00112713,-0.000489282,-0.000495759,9.72E-05,0.000139411,-0.000745865,-0.001029391,0.000112716,0.00077224,0.000706719,0.001843618,0.001270065,-0.000547644,-0.000297948,0.001149747,0.000329431,-0.00401582,-0.000380428,0.008675819,-0.000843032,0.001868885,5.42E-05,-0.000872509,0.000474334,-0.004360831,-9.05E-05,-0.000176912,0.000294035,-0.008876289,-0.001132537,-0.001820612,-0.000209667,0.001567203,0.004114289,0.005172133,0.001082275,0.334821429,1.618303571,3.013392857,5.747767857,1.884094467,2.787289649,2.061163756,1.969416907,0.390625,1.618303571,2.790178571,10.37946429,1.73318569,1.982998798,1.894433885,1.61758627
