iter	Logloss
0	0.6848325032
1	0.6766720749
2	0.6683047225
3	0.6599706789
4	0.6516210975
5	0.6440465043
6	0.6364618627
7	0.6285319445
8	0.621138596
9	0.6128879175
10	0.6053940378
11	0.5980117147
12	0.5902871853
13	0.5833574155
14	0.5765226411
15	0.5700083477
16	0.5631560349
17	0.5568110768
18	0.5505433431
19	0.5439192609
20	0.5379733109
21	0.532153432
22	0.526207575
23	0.5206028078
24	0.5148726673
25	0.5091790455
26	0.5033243691
27	0.4982819906
28	0.492729187
29	0.4875234743
30	0.4824441119
31	0.4775159417
32	0.4723286978
33	0.4673602872
34	0.4622661311
35	0.4574345845
36	0.4528635537
37	0.4486665028
38	0.4442518746
39	0.4398010068
40	0.4351021371
41	0.4307737583
42	0.4265125089
43	0.4225345705
44	0.4185921739
45	0.4143571621
46	0.4102780412
47	0.4061249524
48	0.4024608891
49	0.3986687079
50	0.39503693
51	0.3911455201
52	0.3873111213
53	0.3836157729
54	0.3802820299
55	0.3769922722
56	0.3737135631
57	0.3705275233
58	0.3672262983
59	0.3642405301
60	0.3612826743
61	0.3580985651
62	0.3551689241
63	0.3523765192
64	0.349624471
65	0.3466585671
66	0.3438215954
67	0.3409864379
68	0.3383776502
69	0.3355163016
70	0.3325671684
71	0.3300822653
72	0.3274787345
73	0.3250461904
74	0.3227082229
75	0.3202700731
76	0.3179249182
77	0.315551153
78	0.3130479673
79	0.3108742644
80	0.308689257
81	0.3067304797
82	0.3043350592
83	0.3021631939
84	0.2998472772
85	0.2979128768
86	0.2957854387
87	0.2933420786
88	0.2913203123
89	0.2892932892
90	0.2874451381
91	0.2854951068
92	0.2836888941
93	0.2815757379
94	0.2799803338
95	0.2781576064
96	0.2764146619
97	0.2745888873
98	0.2729269121
99	0.2714197577
100	0.2700169028
101	0.2684923963
102	0.2670541159
103	0.2656542383
104	0.2641419434
105	0.2628601121
106	0.2612423083
107	0.2596698389
108	0.2581037428
109	0.2567018648
110	0.255414358
111	0.2538768024
112	0.2523181031
113	0.2508043894
114	0.2494972973
115	0.2482247702
116	0.2471898242
117	0.2459133195
118	0.2447881233
119	0.2437325454
120	0.2425277524
121	0.2412442928
122	0.2402440048
123	0.2389524972
124	0.2378548878
125	0.2367737002
126	0.2357567578
127	0.2345325191
128	0.2332198445
129	0.2323306014
130	0.2314249364
131	0.230325443
132	0.2291338618
133	0.2281777452
134	0.2271073504
135	0.2261866128
136	0.2248849404
137	0.224001489
138	0.2228955757
139	0.2219543224
140	0.2209901577
141	0.2200653727
142	0.2194185257
143	0.2185762917
144	0.2176952362
145	0.2169266677
146	0.2161821738
147	0.215324774
148	0.2144799581
149	0.2135168169
150	0.2125089227
151	0.2118285575
152	0.2109333131
153	0.2102711143
154	0.2093767771
155	0.2085672472
156	0.2079411716
157	0.2072541307
158	0.2066165878
159	0.205946178
160	0.2052147098
161	0.2046303633
162	0.2037830818
163	0.2029830886
164	0.2020881467
165	0.2013653778
166	0.200664404
167	0.2000313736
168	0.1994842204
169	0.1987988077
170	0.1982204158
171	0.1974545456
172	0.1969468884
173	0.1962565213
174	0.1956129307
175	0.1947624858
176	0.1942761468
