iter	Passed	Remaining
0	124	124288
1	128	63958
2	131	43560
3	133	33187
4	138	27547
5	140	23352
6	143	20379
7	147	18229
8	149	16457
9	152	15123
10	155	13985
11	157	13006
12	162	12329
13	165	11670
14	168	11072
15	171	10525
16	174	10082
17	177	9664
18	179	9279
19	183	8999
20	186	8671
21	188	8397
22	192	8161
23	194	7903
24	197	7706
25	200	7512
26	204	7383
27	207	7204
28	209	7026
29	211	6843
30	214	6710
31	217	6565
32	219	6442
33	222	6331
34	225	6208
35	228	6111
36	230	6008
37	233	5900
38	236	5818
39	238	5724
40	240	5628
41	243	5563
42	246	5481
43	248	5401
44	251	5347
45	254	5278
46	259	5268
47	262	5208
48	265	5155
49	268	5102
50	271	5046
51	274	5004
52	276	4949
53	279	4893
54	282	4853
55	284	4803
56	287	4753
57	291	4736
58	293	4685
59	299	4691
60	301	4645
61	307	4646
62	309	4603
63	314	4603
64	317	4571
65	321	4550
66	324	4524
67	327	4491
68	331	4473
69	335	4462
70	338	4435
71	341	4404
72	345	4386
73	348	4356
74	352	4341
75	354	4314
76	361	4328
77	363	4297
78	367	4285
79	374	4310
80	377	4283
81	382	4280
82	385	4257
83	388	4241
84	392	4219
85	398	4236
86	401	4209
87	404	4196
88	407	4174
89	410	4147
90	414	4136
91	416	4112
92	420	4096
93	423	4077
94	425	4056
95	428	4037
96	431	4016
97	436	4018
98	439	3996
99	444	4001
100	447	3986
101	451	3974
102	453	3952
103	459	3962
104	463	3951
105	466	3938
106	469	3917
107	473	3906
108	475	3888
109	481	3899
110	484	3882
111	488	3871
112	491	3856
113	497	3866
114	500	3848
115	504	3846
116	506	3821
117	509	3807
118	513	3798
119	515	3780
120	518	3767
121	521	3755
122	524	3741
123	529	3738
124	531	3723
125	537	3726
126	539	3709
127	542	3696
128	545	3683
129	548	3667
130	552	3668
131	555	3653
132	560	3657
133	563	3643
134	567	3633
135	569	3620
136	573	3613
137	576	3603
138	579	3588
139	584	3589
140	586	3573
141	589	3564
142	592	3550
143	595	3537
144	598	3531
145	601	3517
146	604	3509
147	611	3521
148	614	3511
149	617	3498
150	620	3488
151	623	3477
152	625	3464
153	631	3467
154	633	3455
155	639	3457
156	641	3445
157	645	3441
158	648	3429
159	654	3434
160	656	3421
161	660	3414
162	662	3402
163	666	3397
164	669	3388
165	672	3377
166	675	3371
167	678	3359
168	681	3351
169	684	3341
170	686	3329
171	692	3331
172	694	3321
173	698	3315
174	701	3305
